Transaction_ID,Customer_ID,Date,Store_ID,Product,Category,Quantity,Price,Total,Payment_Method
1,CUST039,2025-05-04,STORE04,Eggs,Dairy,1,16.41,16.41,UPI
1,CUST039,2025-05-04,STORE04,Diaper,Baby,1,2.92,2.92,UPI
1,CUST039,2025-05-04,STORE04,Juice,Beverage,2,5.69,11.38,UPI
1,CUST039,2025-05-04,STORE04,Cheese,Dairy,2,15.75,31.5,UPI
2,CUST005,2025-05-03,STORE05,Chips,Snacks,3,9.35,28.05,Card
2,CUST005,2025-05-03,STORE05,Eggs,Dairy,1,8.01,8.01,Card
2,CUST005,2025-05-03,STORE05,Cheese,Dairy,2,1.71,3.42,Card
2,CUST005,2025-05-03,STORE05,Cookies,Snacks,3,1.06,3.18,Card
2,CUST005,2025-05-03,STORE05,Diaper,Baby,1,7.7,7.7,Card
3,CUST021,2025-05-06,STORE02,Diaper,Baby,2,18.13,36.26,Card
3,CUST021,2025-05-06,STORE02,Chips,Snacks,1,17.11,17.11,Card
3,CUST021,2025-05-06,STORE02,Butter,Dairy,2,3.41,6.82,Card
4,CUST037,2025-05-01,STORE02,Eggs,Dairy,1,9.74,9.74,Cash
4,CUST037,2025-05-01,STORE02,Chips,Snacks,3,5.79,17.37,Cash
5,CUST027,2025-05-02,STORE03,Milk,Dairy,3,17.91,53.73,Card
5,CUST027,2025-05-02,STORE03,Cookies,Snacks,2,8.26,16.52,Card
5,CUST027,2025-05-02,STORE03,Butter,Dairy,3,14.34,43.02,Card
5,CUST027,2025-05-02,STORE03,Bread,Bakery,2,4.88,9.76,Card
5,CUST027,2025-05-02,STORE03,Diaper,Baby,3,14.06,42.18,Card
6,CUST012,2025-05-03,STORE03,Cheese,Dairy,1,14.82,14.82,Wallet
6,CUST012,2025-05-03,STORE03,Juice,Beverage,3,1.9,5.7,Wallet
7,CUST043,2025-05-06,STORE03,Milk,Dairy,3,5.66,16.98,UPI
8,CUST021,2025-05-06,STORE03,Diaper,Baby,1,17.64,17.64,Wallet
8,CUST021,2025-05-06,STORE03,Beer,Beverage,2,10.69,21.38,Wallet
9,CUST048,2025-05-06,STORE02,Milk,Dairy,1,10.96,10.96,UPI
9,CUST048,2025-05-06,STORE02,Cheese,Dairy,1,8.35,8.35,UPI
9,CUST048,2025-05-06,STORE02,Beer,Beverage,1,10.99,10.99,UPI
10,CUST007,2025-05-02,STORE03,Cookies,Snacks,3,5.07,15.21,Card
10,CUST007,2025-05-02,STORE03,Bread,Bakery,3,14.65,43.95,Card
11,CUST007,2025-05-03,STORE04,Juice,Beverage,1,5,5,Cash
11,CUST007,2025-05-03,STORE04,Eggs,Dairy,2,12.28,24.56,Cash
11,CUST007,2025-05-03,STORE04,Diaper,Baby,1,8.6,8.6,Cash
11,CUST007,2025-05-03,STORE04,Cookies,Snacks,1,4.11,4.11,Cash
12,CUST007,2025-05-05,STORE02,Milk,Dairy,2,12.67,25.34,UPI
13,CUST048,2025-05-04,STORE04,Cookies,Snacks,2,4.25,8.5,Cash
14,CUST028,2025-05-06,STORE04,Diaper,Baby,1,18.99,18.99,UPI
14,CUST028,2025-05-06,STORE04,Chips,Snacks,3,3.56,10.68,UPI
14,CUST028,2025-05-06,STORE04,Eggs,Dairy,2,13.94,27.88,UPI
14,CUST028,2025-05-06,STORE04,Cheese,Dairy,3,11.82,35.46,UPI
